movieid,title,country,year_released,runtime
1,12 stulyev,ru,1971,161
2,Al-mummia,eg,1969,102
3,"Ali Zaoua, prince de la rue",ma,2000,90
4,Apariencias,ar,2000,94
5,Ardh Satya,in,1983,130
6,Armaan,in,2003,159
7,Armaan,pk,1966,
8,Babettes gæstebud,dk,1987,102
9,Banshun,jp,1949,108
10,Bidaya wa Nihaya,eg,1960,
11,Variety,us,2008,106
12,"Bon Cop, Bad Cop",ca,2006,
13,Brilliantovaja ruka,ru,1969,100
14,C'est arrivé près de chez vous,be,1992,95
15,Carlota Joaquina - Princesa do Brasil,br,1995,
16,Cicak-man,my,2006,107
17,Da Nao Tian Gong,cn,1965,106
18,Das indische Grabmal,de,1959,102
19,Das Leben der Anderen,de,2006,137
20,Den store gavtyv,dk,1956,94
21,Der Tiger von Eschnapur,de,1959,101
22,Devdas,in,2002,128
23,Dhum Dhadaka,in,1985,148
24,Diarios de motocicleta,pe,2004,126
25,Dil Chahta Hai,in,2001,184
26,Dona Flor e Seus Dois Maridos,br,1976,110
27,Dr. No,gb,1962,
28,Ek Duuje Ke Liye,in,1981,163
29,El haram,eg,1965,105
30,El laberinto del fauno,mx,2006,119
31,Elippathayam,in,1981,121
32,Flickan som lekte med elden,se,2009,129
33,Ghazal al-banat,eg,1949,
34,Gol Maal,in,1979,
35,Gondhalat Gondhal,in,1981,
36,Goo Naam Gwa Neui,hk,2000,101
37,Good Bye Lenin!,de,2003,121
38,Hái-kak Chhit-ho,tw,2008,129
39,I Not Stupid,sg,2002,105
40,I soliti ignoti,it,1958,111
41,Il Sorpasso,it,1962,105
42,Inglourious Basterds,us,2009,152
43,"Ironiya sudby, ili S legkim parom!",ru,1975,184
44,Jonas qui aura 25 ans en l'an 2000,ch,1976,116
45,Kaminey,in,2009,134
46,"Kavkazskaja plennitsa, ili Novye prikljuchenija Shurika",ru,1967,77
47,Kavkazskiy plennik,ru,1996,98
48,Kolja,cz,1996,105
49,Kruimeltje,nl,1999,119
50,L'Armata Brancaleone,it,1966,120
51,La grande vadrouille,us,1966,132
52,La mort de Mario Ricci,ch,1983,100
53,La vita è bella,it,1997,116
54,Laskar pelangi,id,2008,124
55,Le déclin de l'empire américain,ca,1986,101
56,Le Pacte des loups,fr,2001,142
57,Le Wazzou polygame,ne,1971,50
58,Mamma Mia!,gb,2008,109
59,Män som hatar kvinnor,se,2009,153
60,Mar adentro,sp,2004,125
61,Marock,ma,2005,100
62,Max Manus,no,2008,118
63,Minoes,nl,2001,86
64,Mononoke-hime,jp,1997,133
65,Moskva slezam ne verit,ru,1980,140
66,Mother India,in,1957,172
67,Muthu,in,1995,165
68,Nayakan,in,1987,135
69,Nochnoj Dozor,ru,2004,114
70,O Quatrilho,br,1995,
71,Om Shanti Om,in,2007,170
72,Operatsiya Y i drugiye priklyucheniya Shurika,ru,1965,90
73,Operetta tanuki goten,jp,2005,111
74,Orfeu Negro,br,1959,107
75,Orkestar bez ime,bg,1982,
76,Parasakthi,in,1952,170
77,Pásla kone na betóne,cz,1982,
78,Pelle erobreren,dk,1987,150
79,Peter's Friends,gb,1992,101
80,Pixote,br,1981,128
81,Poppitz,at,2002,99
82,Potomok Chingis-Khana,ru,1928,
83,Przesluchanie,pl,1989,118
84,Pulp Fiction,us,1994,93
85,Rashômon,jp,1950,154
86,Rosetta,be,1999,93
87,Rudraveena,in,1988,170
88,Schindler's List,us,1993,197
89,"Sexo, pudor y lágrimas",mx,1999,109
90,Shaan,in,1980,181
91,Shankarabharanam,in,1979,137
92,Sitanda,ng,2006,
93,Siu Lam Juk Kau,hk,2001,112
94,Sivaji,in,2007,186
95,Star Wars,us,1977,121
96,Tampopo,jp,1985,115
97,The Dark Knight,us,2008,152
98,The Godfather,us,1972,100
99,The Shawshank Redemption,us,1994,142
100,Titanic,us,1997,195
101,Todo sobre mi madre,sp,1999,104
102,Ugetsu monogatari,jp,1953,94
103,Umberto D.,it,1952,89
104,Vojna i mir,ru,1966,
105,Ja shagaju po Moskve,ru,1964,78
106,Yeopgijeogin geunyeo,kr,2001,123
107,Zawgat Ragol Mohim,eg,1987,
108,Zemsta,pl,2002,105
109,"¡Ay, Carmela!",sp,1990,102
110,Charade,us,1963,113
111,La Règle du jeu,fr,1939,110
112,North by Northwest,us,1959,136
113,Singin' in the Rain,us,1952,103
114,Rear Window,us,1954,112
115,City Lights,us,1931,87
116,The Searchers,us,1956,119
117,All About Eve,us,1950,138
118,The Treasure of the Sierra Madre,us,1948,126
119,High Noon,us,1952,85
120,Some Like It Hot,us,1959,121
121,Treasure Island,us,1934,105
122,Treasure Island,us,1950,96
123,Treasure Island,us,1972,94
124,Treasure Island,us,1990,
125,The Man Who Knew Too Much,gb,1934,75
126,The Man Who Knew Too Much,us,1956,120
127,Strangers on a Train,us,1951,101
128,The Magnificent Ambersons,us,1942,88
129,New York Stories,us,1989,129
130,The Witches,gb,1966,90
131,The Longest Day,us,1962,178
132,"Hello, Dolly!",us,1969,148
133,The Bridges of Madison County,us,1995,114
134,The Great Dictator,us,1940,124
135,The Kid,us,1921,68
136,Desperately Seeking Susan,us,1985,104
137,L'Avventura,it,1960,143
138,The Nutty Professor,us,1963,107
139,Twins,us,1988,107
140,Kuch Kuch Hota Hai,in,1998,185
141,To Be or Not to Be,us,1942,99
142,Ninotchka,us,1939,108
143,Devdas,in,1935,
144,Devdas,in,1936,139
145,Devdas,in,1955,159
146,Fargo,us,1996,98
147,Annie Hall,us,1977,93
148,Blade Runner,us,1982,116
149,Bronenosets Potyomkin,ru,1925,75
150,Casablanca,us,1942,102
151,Citizen Kane,us,1941,119
152,Das Boot,de,1981,149
153,Det sjunde inseglet,se,1957,96
154,Doctor Zhivago,us,1965,197
155,Goodfellas,us,1990,178
156,"Il buono, il brutto, il cattivo",us,1966,177
157,Jaws,us,1975,124
158,Ladri di biciclette,it,1948,93
159,Lawrence Of Arabia,gb,1962,227
160,The Fifth Element,fr,1997,126
161,Les Visiteurs du Soir,us,1942,118
162,Mary Poppins,us,1964,139
163,On The Waterfront,us,1954,108
164,Pather Panchali,in,1955,112
165,Shichinin no Samurai,jp,1954,207
166,Sholay,in,1975,204
167,The Sound of Music,us,1965,174
168,The Third Man,gb,1949,
169,Notorious,us,1946,101
170,Devdas,in,1937,
171,La Ta Da Wang Yu Ji,cn,1986,85
172,A Fei Jingjyuhn,hk,1990,94
173,Ging Chat Goo Si,hk,1985,101
174,The Gay Divorcee,us,1934,107
175,Top Hat,us,1935,101
176,Shall We Dance,us,1937,116
177,You Were Never Lovelier,us,1942,97
178,Daddy Long Legs,us,1955,126
179,Beetlejuice,us,1988,92
180,Edward Scissorhands,us,1990,105
181,Mars Attacks!,us,1996,105
182,The Public Ennemy,us,1931,83
183,It Happened One Night,us,1934,105
184,Mr Deeds Goes to Town,us,1936,115
185,Arsenic and Old Lace,us,1944,118
186,It's a Wonderful Life,us,1946,130
187,Out of Sight,us,1998,122
188,A Fish Called Wanda,gb,1988,109
189,Traffic,us,2000,147
190,The Mask,us,1994,101
191,Gunfight at the O.K. Corral,us,1957,122
192,The Vikings,us,1958,116
193,Spartacus,us,1960,184
194,The Thief of Bagdad,us,1924,140
195,Little Caesar,us,1931,79
196,Minority Report,us,2002,145
197,Le Petit Monde de Don Camillo,it,1952,107
198,Cat Ballou,us,1965,97
199,Klute,us,1971,114
200,On Golden Pond,us,1981,109
201,Easy Rider,us,1969,95
202,Gilda,us,1946,110
203,Ray,us,2004,112
204,Julius Caesar,us,1953,121
205,Drive,us,2011,100
206,Scaramouche,us,1952,115
207,Forrest Gump,us,1994,142
208,The African Queen,us,1952,105
209,No Country for Old Men,us,2007,90
210,Mies vailla menneisyyttä,fi,2002,97
211,The Captive Heart,gb,1946,
212,Pyaar Kiya To Darna Kya,in,1998,158
213,Lagaan,in,2001,234
214,The Flight of the Phoenix,us,1965,142
215,Hatari!,us,1961,157
216,Wong Gok Ka Moo,hk,1988,102
217,Yin Shi Nan Nu,tw,1994,123
218,Sense and Sensibility,gb,1995,136
219,Non me lo dire!,it,1940,75
220,The Man Who Shot Liberty Valance,us,1962,123
221,Angels with Dirty Faces,us,1938,97
222,The Bostonians,gb,1984,122
223,Mrs Dalloway,gb,1998,97
224,V for Vendetta,gb,2005,132
225,Bullitt,us,1968,113
226,The Cincinatti Kid,us,1965,102
227,The Pink Panther,us,1963,113
228,A Room with a View,gb,1985,117
229,The Blue Angel,us,1959,107
230,La Grande Illusion,fr,1937,114
231,Sunset Boulevard,us,1950,110
232,La grande guerra,it,1959,135
233,2001: A Space Odyssey,us,1968,84
234,The Adventures of Robin Hood,us,1938,102
235,Devdas,in,1979,153
236,Dirty Harry,us,1971,102
237,Duck Soup,us,1933,68
238,The Fiddler On The Roof,us,1971,93
239,Gone With The Wind,us,1939,221
240,"Goodbye, Mr. Chips",gb,1939,114
241,Der Himmel über Berlin,de,1987,127
242,"Honey, I Shrunk The Kids",us,1989,94
243,Fa Yeung Nin Wa,hk,2000,98
244,King Kong,us,1933,125
245,King Kong,us,1976,134
246,King Kong,nz,2005,188
247,The Lady Vanishes,gb,1938,97
248,A Night In Casablanca,us,1946,102
249,Oliver!,gb,1968,74
250,Plan 9 From Outer Space,us,1959,80
251,"Sex, Lies, and Videotape",us,1989,100
252,We Feed the World,at,2005,96
253,Wuthering Heights,us,1939,103
254,Wuthering Heights,gb,1970,104
255,Abismos de pasión,mx,1954,91
256,Arashi ga Oka,jp,1988,143
257,Nijū-shi no Hitomi,jp,1954,154
258,Peccato che sia una canaglia,it,1955,95
259,Kikujirō no Natsu,jp,1999,121
260,"Volga, Volga",ru,1938,104
261,Un cuento chino,ar,2011,93
262,O Cangaceiro,br,1953,105
263,12 Years a Slave,us,2013,134
264,A Beautiful Mind,us,2001,135
265,A Man for All Seasons,gb,1966,120
266,All Quiet on the Western Front,us,1930,152
267,All the King's Men,us,1949,109
268,Amadeus,us,1984,161
269,American Beauty,us,1999,122
270,An American in Paris,us,1951,102
271,Argo,us,2012,120
272,Around the World in 80 Days,us,1956,182
273,Ben-Hur,us,1959,212
274,Braveheart,us,1995,177
275,Cavalcade,us,1933,110
276,Chicago,us,2002,113
277,Cimarron,us,1931,124
278,Crash,us,2004,112
279,Dances with Wolves,us,1990,180
280,Driving Miss Daisy,us,1989,100
281,From Here to Eternity,us,1953,118
282,Gandhi,gb,1982,188
283,Gigi,us,1958,115
284,Gladiator,us,2000,155
285,Going My Way,us,1944,130
286,Grand Hotel,us,1932,100
287,Hamlet,gb,1948,155
288,How Green Was My Valley,us,1941,118
289,In the Heat of the Night,us,1967,109
290,Kramer vs. Kramer,us,1979,105
291,Midnight Cowboy,us,1969,113
292,Million Dollar Baby,us,2004,75
293,Mrs. Miniver,us,1942,133
294,Mutiny on the Bounty,us,1935,132
295,My Fair Lady,us,1964,170
296,One Flew Over the Cuckoo's Nest,us,1975,133
297,Ordinary People,us,1980,124
298,Out of Africa,us,1985,102
299,Patton,us,1970,170
300,Platoon,us,1986,120
301,Rain Man,us,1988,133
302,Rebecca,us,1940,130
303,Shakespeare in Love,gb,1998,123
304,Slumdog Millionaire,gb,2008,120
305,Terms of Endearment,us,1983,131
306,The Best Years of Our Lives,us,1946,172
307,The Bridge on the River Kwai,gb,1957,161
308,The Broadway Melody,us,1929,100
309,The Deer Hunter,us,1978,96
310,The Departed,us,2006,151
311,The English Patient,us,1996,162
312,The French Connection,us,1971,104
313,The Godfather Part II,us,1974,200
314,The Great Ziegfeld,us,1936,132
315,The Greatest Show on Earth,us,1952,152
316,The King's Speech,gb,2010,118
317,The Last Emperor,us,1987,160
318,The Life of Emile Zola,us,1937,116
319,The Lord of the Rings: The Return of the King,nz,2003,201
320,The Lost Weekend,us,1945,99
321,The Silence of the Lambs,us,1991,118
322,The Sting,us,1973,101
323,Tom Jones,gb,1963,128
324,West Side Story,us,1961,90
325,Wings,us,1927,
326,You Can't Take It With You,us,1938,126
327,Birdman,us,2014,119
328,About Schmidt,us,2002,124
